日付,格言,発言者,解説
01-01,"群れから離れるたびに、私はたくさんのお金を稼いできました。行動から離れることは、新しい行動を見つける方法です。(Nearly every time I strayed from the herd, I've made a lot of money. Wandering away from the action is the way to find the new action.)",ウォール街の名言,
01-02,買いたい弱気 売りたい強気,日本の相場格言,希望的観測にとらわれ、買いたいのに弱気で売ったり、売りたいのに強気で買ったりする心理の逆転を戒める。
01-03,"10 月: これは、株の投機にとって特に危険な月の 1 つです。その他は、7 月、1 月、9 月、4 月、11 月、5 月、3 月、6 月、12 月、8 月、2 月です。 (October: This is one of the peculiarly dangerous months to speculate in stocks. The others are July, January, September, April, November, May, March, June, December, August and February.)",ウォール街の名言,
01-04,1月効果,アノマリー,マーケットにおける1月の収益率が、ほかの月よりも高くなりやすい現象のことである。「年末に税金対策としての売りが出やすくなる」「年が明けると新たな資金流入がしやすくなる」などが原因といわれている。
01-05,年末ラリー,アノマリー,文字どおり年末にかけて株価が上昇するというアノマリーのこと。年末、クリスマス休暇を取る市場参加者が増えてくると、売り圧力が弱まって株高になるため「サンタクロースラリー」とも呼ばれる。
01-06,向かう理は、高きを売りて安きを買う。米商いの大秘密と知れ。,三猿金泉秘録,
01-07,リスクは排除することはできず、移転・拡散されるだけだ(Risk cannot be eliminated; it just gets transferred and spread.),ウォール街の名言,
01-08,どのトレードにおいても、総資産の1％以上のリスクを取るな,ラリー・ハイト,資産を守るには、リスク管理が不可欠であり、1回の取引に対して資産の1％以上の損失を許容しないことが基本である。特に初心者にとって重要な投資の原則として、常に心がけるべき教訓である。
01-09,"株式を 10 年間所有することを考えていない場合は、10 分でも所有することを考えないでください。(If you aren’t thinking about owning a stock for ten years, don’t even think about owning it for ten minutes.)",ウォール街の名言,
01-10,漁師は潮を見る,日本の相場格言,
01-11,強気相場は不安の壁を登る。弱気相場は希望の川を下る。(Bull markets climb a wall of worry; bear markets slide down a river of hope.),ウォール街の名言,
01-12,金融市場を支配しているのは数学ではない。市場を支配しているのは人間の心理だ。,ジョージ・ソロス,
